-0.6        0.012533        0.012543
-0.45        0.012573        0.012583
-0.3        0.012601        0.012611
-0.15        0.012618        0.012628
0        0.012624        0.012633
0.15        0.012618        0.012628
0.3        0.012601        0.012611
0.45        0.012573        0.012583
0.6        0.012533        0.012543
0.75        0.012483        0.012493
0.9        0.012421        0.012431
1.05        0.012348        0.012358
1.2        0.012263        0.012273
1.35        0.012167        0.012178
1.5        0.01206        0.012071
1.65        0.011942        0.011953
1.8        0.011813        0.011823
1.95        0.011672        0.011683
2.1        0.01152        0.011531
2.25        0.011356        0.011368
2.4        0.011182        0.011193
2.55        0.010996        0.011008
2.7        0.010798        0.010811
2.85        0.01059        0.010603
3        0.01037        0.010383
3.15        0.010139        0.010153
3.3        0.0098966        0.009911
3.45        0.0096429        0.0096579
3.6        0.0093778        0.0093935
3.75        0.0091014        0.0091179
3.9        0.0088136        0.008831
4.05        0.0085145        0.0085329
4.2        0.008204        0.0082235
4.35        0.007882        0.0079029
4.5        0.0075486        0.007571
4.65        0.0072036        0.0072279
4.8        0.006847        0.0068735
4.95        0.0064786        0.0065079
5.1        0.0060984        0.006131
5.25        0.0057059        0.0057429
5.4        0.0053009        0.0053435
5.55        0.0048827        0.0049329
5.7        0.0044506        0.004511
5.85        0.0040034        0.0040779
6        0.0035403        0.0036335
6.15        0.0030612        0.0031779
6.3        0.0025687        0.002711
6.45        0.0020706        0.0022329
6.6        0.0015831        0.0017435
6.75        0.0011312        0.0012429
6.9        0.00074423        0.00073099
7.05        0.00044513        0.00020786
7.2        0.00024003        0
7.35        0.00011633        0
7.5        5.0745e-05        0
7.65        2.0006e-05        0
7.8        7.1667e-06        0
7.95        2.3451e-06        0
8.1        7.0446e-07        0
8.25        1.9509e-07        0
8.4        4.9998e-08        0
8.55        1.1896e-08        0
8.7        2.6351e-09        0
8.85        5.4484e-10        0
9        1.0538e-10        0
9.15        1.9106e-11        0
9.3        3.2526e-12        0
9.45        5.2085e-13        0
9.6        7.8568e-14        0
9.75        1.1194e-14        0
9.9        1.5054e-15        0
10.05        1.9044e-16        0
10.2        2.304e-17        0
10.35        2.56e-18        0
10.5        2.5e-19        0
10.65        4e-20        0
10.8        1e-20        0
10.95        0        0
11.1        0        0
11.25        0        0
11.4        0        0
11.55        0        0
11.7        0        0
11.85        0        0
12        0        0
12.15        0        0
12.3        0        0
12.45        0        0
12.6        0        0
12.75        0        0
12.9        0        0
13.05        0        0
13.2        0        0
13.35        0        0
13.5        0        0
13.65        0        0
13.8        0        0
13.95        0        0
14.1        0        0
14.25        0        0
14.4        0        0
14.55        0        0
14.7        0        0
14.85        0        0
15        0        0
15.15        0        0
15.3        0        0
15.45        0        0
15.6        0        0
15.75        0        0
15.9        0        0
16.05        0        0
16.2        0        0
16.35        0        0
16.5        0        0
16.65        0        0
16.8        0        0
16.95        0        0
17.1        0        0
17.25        0        0
17.4        0        0
17.55        0        0
17.7        0        0
17.85        0        0
18        0        0
18.15        0        0
18.3        0        0
18.45        0        0
18.6        0        0
18.75        0        0
18.9        0        0
19.05        0        0
19.2        0        0
